"Freq";"Left";"Right"
Calib_Headphone02_blue.csv
200;6.94;6.94
300;0.26;0.26
400;1.63;1.63
500;1.98;1.98
600;2.04;2.04
700;1.96;1.96
800;1.92;1.92
900;1.46;1.46
1000;0.63;0.63
1200;-0.36;-0.36
1400;-3.79;-3.79
1600;-8.24;-8.24
1800;-14.39;-14.39
2000;-16.27;-16.27
2200;-14.25;-14.25
2400;-13.73;-13.73
2600;-13.45;-13.45
2800;-11.56;-11.56
3000;-8.96;-8.96
3200;-7.86;-7.86
3400;-9.08;-9.08
3600;-13.48;-13.48
3800;-9.41;-9.41
4000;-0.08;-0.08
4200;5.95;5.95
4400;9.97;9.97
4600;12.43;12.43
4800;12.67;12.67
5000;11.48;11.48
5200;9.87;9.87
5400;9.13;9.13
5600;9.15;9.15
5800;8.82;8.82
6000;7.98;7.98
6200;8.20;8.20
6400;5.67;5.67
6600;3.70;3.70
6800;0.97;0.97
7000;0.18;0.18
7200;2.83;2.83
7400;8.56;8.56
7600;12.91;12.91
7800;14.72;14.72
8000;16.55;16.55
