"Freq";"Left";"Right"
Calib_frog_headphone.csv
200;0.42;0.42
300;-2.60;-2.60
400;-3.51;-3.51
500;-4.19;-4.19
600;-4.84;-4.84
700;-5.55;-5.55
800;-6.36;-6.36
900;-7.17;-7.17
1000;-8.46;-8.46
1200;-11.98;-11.98
1400;-17.97;-17.97
1600;-18.94;-18.94
1800;-18.88;-18.88
2000;-19.40;-19.40
2200;-18.87;-18.87
2400;-21.89;-21.89
2600;-24.39;-24.39
2800;-20.17;-20.17
3000;-15.82;-15.82
3200;-5.94;-5.94
3400;0.30;0.30
3600;5.47;5.47
3800;9.60;9.60
4000;11.58;11.58
4200;14.70;14.70
4400;15.69;15.69
4600;13.76;13.76
4800;12.95;12.95
5000;11.56;11.56
5200;6.96;6.96
5400;0.73;0.73
5600;9.63;9.63
5800;17.40;17.40
6000;24.98;24.98
6200;31.68;31.68
6400;37.40;37.40
6600;31.89;31.89
6800;29.87;29.87
7000;27.90;27.90
7200;33.74;33.74
7400;22.18;22.18
7600;20.87;20.87
7800;17.54;17.54
8000;12.79;12.79
